processed_full_review,sentiment,year,month
upper deck seat extremely comfortable service great food tasty enough fill try get window seat get extra space gap edge seat window storage unit upper deck,Positive,2018,10
currently stick plane cgk sin flight suppose depart but delay due bad weather singapore flown could sky not cleared time reach singapore hour away time come informed maybe another hour take say could touch changi time even get fly would definitely not recommend sq mind unnecessary delay utter waste time,Negative,2018,11
travel via changi airport uk australia flight business class although obviously expensive well worth arrive perth no jetlag fresh begin holiday time changi shower complete change clothes service food ambiance cabin superb sleep legs journey but change watch australian time immediately leave london always take melatonin tablet night time new time zone help reset biological clock do number year always work flown singapore airline several occasion business leisure always find efficient care luxury travel,Positive,2018,11
take many singapore airline flight especially long haul flight flight service entertainment good always but one flight tray table not work properly need tip top condition stay ahead everything good always time cabin crew attentive helpful flight meal good good connectivity lounge singapore good still best but need improvement,Positive,2018,11
hour morning flight but crew manage great breakfast thanks chief steward warren ovinis faheema quick ultra efficient clean service beyond expectation thanks back many thanks world best airline singapore bali,Positive,2018,11
take direct flight sf singapore take around local time arrive singapore local time well think around hour know sound long flight but not feel business class seat big enough space spend time read couple newspaper magazine continue reading kindle watched couple late film well sleep around hour whole flight bed nice but not like slant flight attendant also friendly but professional food amaze sometimes felt bit much first meal second meal quite big gap term timing but always ask nice warm noodle flight attendant would not take business class personal trip though cost time economic class know cozy but not really worth food plentiful,Positive,2018,11
two leg flight minimal stopover singapore catering include airfare good staff excellent aircraft get old showing age little despite board entertainment adequate seat tught but not uncomfortably big man need comfortable seat singapore meet need value money,Positive,2018,11
take due inexperienced staff seat comfortable cabin spacious cabin crew professional helpful cheerful pleasant flight,Positive,2018,11
pretty happy trip however miss flight home charge extra dollar no show fee dollar holiday singapore,Positive,2018,11
know singapore airline regularly rat one best airline anticipate flight lot service board friendly quick efficient book cook option good way chose dish advance really comprehensive menu unfortunately steak extremely chewy but happen reason poor rating although seat one wide tall people small turn seat bed foot fit small cube tall kind hard put foot best way sleep side bend legs imo airline way well like air canada oman air service point view sq definitely right but seat make tall people sleep relaxed flight important get good sleep decent meal bottom line fly sq good service uncomfortable tall people,Negative,2018,11
singapore airline really make comfortable flight best service cabin crew best taste breakfast lunch dinner menu high quality first time try airbus route singapore hongkong best five star airline,Positive,2018,11
first flight seat excellent normal seat lay flat bed plane almost brand new everything board immaculate check ar seamless checkin staff efficent extremely pleasant always service board one could ask previously food excellent good wine selection singapore never fail impress definitely one lead aitrlines not best still one best,Positive,2018,11
fly singapore previously impressed flight no different friendly oblige staff comfortable plane airline service,Positive,2018,11
no good airline singapore fly class fortunate enough able fly business class probably class although no experience enjoy memorable experience certainly pay experience definitely not cheap but anything make hour flight enjoyable welcome glass champagne top quality cuisine selection wine wonderful service cabin crew find impossible fault aspect flight travel sydney january actually look forward flight ca say many hour flight sydney singapore airline,Positive,2018,11
flew holiday birthday decide fly sia food good airline kg allowance really enjoyed flight staff really nice helpful also row seat legs flight u fly uk earlier year emirate say singapore favourite airline good flight,Positive,2018,11
different experience ftom last travel singapore year ago appallingly slow procedure insufficient inexperienced staff hop flight service remember disappointing checkin boarding,Neutral,2018,11
not airline since honeymoon year ago experience every bit good remember back service staff comfort great remind need make airline preference wherever possible memory,Positive,2018,11
flight coincide airline anniversary comfortable fully book depart schedule food average coffee terrible but enjoy singapore sling linch staff helpful professional attendantss,Positive,2018,11
friendly cabin crew food well flight qantas year full eating meal toilet keep clean flight cabin crew happy assist eye patch etc firnight floght pic connect flight kl don one singapore night time big thunderstorm great food staff,Positive,2018,11
flight sia fairly comfortable meal far meal go enjoyable seat ok footrest make bit comfortable relatively short however think tall person would find bit cramped entertainment adequate but choice movie bite sparse however not enjoy watch movie tiny screen nose end listen music particular singer loop song sleep relax music option but difficult navigate give one big criticism sia no priority board child old party but board everyone else nearly every international flight domestic well child give priority people mobility problem but not sia flight comfortable flight,Positive,2018,11
singapore airline continue maintain standard one best not best airline world crew always attentive maintain excellent standard premium economy seat boeing offer great comfort first class airline,Positive,2018,11
comfortable flight even economy hour tho friendly efficient staff excellent food service always travel sq possible economy class fine,Positive,2018,11
meant another annual pleasant travel experience singapore airline flight melbourne singapore perfect schedule hour layover flight zurich time spend comfortable lounge watch world football cup however get edgy boarding time approach no indication go gate tell technical problem board not due another hour fortunately u able head back lounge whereas lot people leave fend inordinate delay set chain reaction miss connect flight zurich spend hour final flight geneva timely communication initial delay would make whole issue less stressful lack criticism spoil otherwise pleasant trip flight trip thought would never end,Positive,2018,11
usual singapore airline come trumps wonderful service great food feeling look even economy no wonder vote no airline time time would not hesitate fly future enjoy experience flight phuket great best airline ever,Positive,2018,11
twice add hour trip due singapore airline hour singapore airport miss connection result another hour wait new connection give u multi plug power point different country break first time last friday flight late leave bangkok create another hour delay melbourne give voucher use singapore airport something eat buy drink still cost u extra maybe bad luck but really flown airline without delay exhaust trip home time staff nice well work crap product hopefully not travel singapore airline,Negative,2018,11
receive excellent service cabin crew flight time no delay comfortable flight need cater food good far airline food go although breakfast choice bite odd u but make interest would definitely fly singapore stop singapore airport also easy navigate everything deal quickly efficiently flight australia,Positive,2018,11
two choice flight singapore best one fly food okay always two choice asian western cuisine always opt asian nasi lemak favourite best flight semarang singapore,Positive,2018,11
fly sydney business class new aircraft new interior great service sleep well enroute space bed food dinner breakfast arrival fly sydney,Positive,2018,11
whilst top tier frequent flyer sia flown flight realise not review not fly airline help simply exceptional whilst lucky fly first class mostly warmth service crew experience cabin really serve heart nothing much trouble intuitive get buzz excitement whenever board sq flight one best part trip sometimes wish flight longer keep good work sq soar ahead next best hand beat competition product service alike undisputed airline world,Positive,2018,11
fourth trip davao singapore airline silk air combination like silkair sister airline singapore airline one booking also keep baggage allowance way also dont touch luggage get davao allways singapore airline one good one long haul pay extra extra legroom seat long flight food reasonable plenty drink option may try business class next time get bit old begin struggle long haul flight would recommend airline trip philippine,Positive,2018,11
singapore air outdoes even passenger meal well average surpassing airline far staff always attentive helpful air canada country airline could learn lot garner degree respect emulate sing air kudus singapore airline staff member singapore airline right always,Positive,2018,11
must say not understand good review sq experience less convincing reservation line always busy take age get seat large comfortable sit but sleep not comfortable hard narrow footrest sleep diagonal position awkward could not sleep whole flight food really bad tough meat overcook bad taste bad food long time staff friendly but not efficient sometimes take age get water bread etc overall really disappointing experience must say sq seem deteriorate pity use good year ago case not choose disappointing experience,Neutral,2018,11
always love fly singapore airline one day aspire fly business class but review premium economy singapore dubai always friendly smile staff nothing hard difficult facility great singapore airline hotel sky,Positive,2018,11
overall good except one tall stewardess bit arrogant friendly foreigner caucasian ie but not asian passenger like anyhow one bad apple not spoil whole basket flight sia,Positive,2018,11
booked ticket wheel chair service old people ca walk long distance get bad service ever flight adelaide penang yesterday transit airport hour parent reach singapore airport provide car carry walk long way parent ask driver sent voucher but guy tell know ask buy food eat say go right way treat elder ca speak proper english end send directly board gate struggle hungered hour not dare walk around say ever attendant know go dissappointed service line lack respect,Negative,2018,11
en route durban bangkok day flight intent purpose leave johannesburg early afternoon taking hour even though time difference minus hour arrive early singapore seat quite comfortable well pad little leg room recline timing not really need test sleep aspect service good ok inflight menu felt little cheated airline promotes book cook feature order main meal choice hour advance but obscure reason not available flight almost double price discount economy seat questionable value money flight back grueling leaf long day travel sleep quality well test watch space first time premium economy,Positive,2018,11
best class cut airline make special warm cabin crew turn well thectime remain right throuh even long hauls cabin well maintain ditto toilet food beverage serve smile efficiently good choice best class,Positive,2018,11
friend travel agent say singapore airline best especially people travel dietry requirement absolutely right service lovely attendants well present helpful go beyond make sure comfortable nervous traveller but felt completely safe singapore airline use soon outstanding,Positive,2018,11
travel many place prefer singapore airline service second none food palatable staff friendly helpful journey,Positive,2018,11
departure arrival time puncture service decent meal good breeze reach airport early hr ahead fight schedule airline punctuality,Positive,2018,11
flight good smooth food good airline hosties good seat cramp might expect medium distance flight boeing sydney changai airport singapore,Positive,2018,11
sq good record fly premium economy little cramped but well worth extra partner gluten free seem one special dietary requirement sit front row ideal mile leg room no problem get stretch meal look ok service much well qantas not quite good virgin fly virgin u sq london always good safe airline,Positive,2018,11
great l book flight depart hr later one friend get check desk extra early friend ask could change early flight well bit computer check no problem smile no extra charge expect staff flight l think helpful help carry luggage attended request meal tasteful would certainly travel thankful,Positive,2018,11
comfortable flight flight seat choosen book enjoy breeze singapore flight get well upgrade plane please book correct flight timetable ensure arrival less people arrival make sure leisure breeze thru custom smile face star holiday plan bad trip limit choice breakfast not serve breakfast tell flight delayed time guess short comfortable flight,Neutral,2018,11
good service nice food nice crew issue seat front tilt back encroached space nothing could long flight good flight,Positive,2018,11
lot airline take example singapore airline customer service reliability like airline plenty legroom big person air hostess beautiful uniform think nice uniform maybe not easy work food really good plenty asian hospitality,Positive,2018,11
outward trip leg sin cdg not good see review return trip leg excellent no problem entertainment system work well staff attentive food good live expectation,Positive,2018,11
usual find singapore service good leg good well recent return flight perth singapore qantas leg room terrible reason economy leg room lot tight make time trip seem like age choice airline travel sector always use singapore airline good service leg room,Positive,2018,11
convenient direct flight hour service efficient checkin great quick go custom would expect small airport economy tight even though spare seat u food would expect economy average way back short stop sydney enough buy duty free direct canberra singapore,Neutral,2018,11
take morning flight manila singapore november board say experience lot well economy seat comfortable sufficient legroom ife screen wide responsive flight attendant professional friendly meal delicious pleasant morning flight really good experience board,Positive,2018,11
receive good service flight meal acceptable staff attentive need enjoy experience good quality servce,Positive,2018,11
flight boeing aircraft singapore airline flight daily lhr sin boeing airbus depart terminal boarding quick effortless business give access singapore silverkris lounge heathrow seat big lot storage service gracious full meal takeoff land small selection not healthy snack but give fruit ask specially flight plan take middle asia hop see himalayas but course dark huge business class seat,Positive,2018,11
chose singapore airline always best usual great flight perfect service courtesy great flight,Positive,2018,11
good flight leaf da nang arrives changi min choose flight give u time free bus tour garden bay flight back home adelaide exit singapore smooth flight lunch refreshment recomend silk air mi,Positive,2018,11
early morning airbus take passenger changi perth leave small enclave terminal b house gate behind additional security check leave time inside enclave limit cafe food flight delay due weather seat lot storage area offer wide selection magazine newspaper read breakfast serve great seat great service,Positive,2018,11
take flight delhi think share experience singapore airline pro nice cabin fantastic entertainment con variety food awsome experience,Positive,2018,11
airline policy unbecoming behavior passenger next gentleman behave properly never talk move move middle seat would pay dollar round trip want aisle seat crew absolutely uninterested plight thus rating singapore airline need policy,Negative,2018,11
outward flight noisy hydraulic pump would run every minute retire aircraft engineer find bit strange noisy assume aircraft come service loud noise unusual passenger aircraft like however every thing else high standard usual great airline heathrow changi,Positive,2018,11
cramp stuck middle row awkward people either side ask sit together window set give middle aisle two middle seat tall person next could not get comortable wif father annoy child would not fly singapore airline not supply service would expect asked extra legroom seat checkin but say take but every one board move people empty legroom seat not want,Negative,2018,11
first experience airline flight good deliver staff board but overall experience mar people travel child could keep control also inconsiderate fellow passenger put seat back far encroached space even tell sit little meal time could put table tray shame pleasure flight mar incident but overall service food flight good good flight,Positive,2018,11
top notch airline but avoid stockholm route,Neutral,2018,11
