year,month,sentiment,processed_full_review
2024,3,Neutral,ok use airlin go singapor london heathrow issu ticket cancel one ticket tri get sort cost lot money due roam charg lengthi phone call need get ticket reinstat tri charg vari amount resolv poor servic got airport check desk due issu meant onlin check could done premium economi spaciou two seat either side plane seat middl plane seem rel new but not brand new legroom good seat wider bigger arm rest two seat fold away tray tabl good choic movi thing tv show game etc food ok seem much differ economi standard flight crew seem friendli enough realli go isl drink mayb twice whole hour flight airlin would done quit often overal flight ok seat comfi legroom good food flight crew could attent especi premium economi would expect servic slightli better economi
2024,3,Negative,don give money book paid receiv email confirm extra legroom seat feb check sea gone resold paid seat put us standard seat spine support devic mean requir extra space use hour flight exit wheelchair unabl walk three week holiday tri time reach philippin call centr appal
2024,3,Positive,best airlin world best airlin world seat food servic brilliant crew friendli welcom love fli singapor airlin
2024,3,Negative,premium economi seat singapor airlin not worth money premium economi seat singapor airlin narrow seat poor leg room compar air nz virgin drink serv plastic beaker roast chicken tough meat noodl dinner orang juic concoct not premium offer toilet walk half way back economi cabin queue toilet one toilet plane not work flown air nz day differ amen poor valu money appar singapor airlin poor kri flyer websit wish upgrad work
2024,3,Negative,imposs get promis refund book flight full month advanc paid well trip week time book trip around flight past month chang flight time result hour stop over delay make trip almost hour long book flight centr paid extra abl cancel flight fight tooth nail get respons let alon money back unenvi point pay litig reclaim fund month use wish flown well time airlin busi famili hundr time but end relationship never fli recommend poor integr
2024,3,Positive,woah fli sq fascin experi sat seat stewardess offer warm towel felt welcom treat well haha seat comfort even gave teddi bear haha idk
2024,3,Negative,long q check bad expeir flight check baiyun airport took one hour plu counter economi class busi class lousi no sq life
2024,3,Negative,bad disappoint respect faculti binci write file complaint regard cancel connect flight singapor airlin irrespons servic singapor airlin airport staff member singapor parent yr old dad yr old mom travel brisban airport singapor airlin yesterday hr arriv singapor airport yesterday late even inform connect flight sq book confirm got cancel wait next day night not inform us form commun secondli though parent older mani health issu parent diabet also take insulin parent high blood pressur take medic but wait airport chair without support hour without food especi non english speak background mental stress physic discomfort hour gone unimagin not express full extent get emot physic support staff singapor arrang room rest proper loung not even food hour parent not prepar stay airport hour book ticket least transit time singapor airport trust servic singapor airlin book flight parent much confid book ticket agenc sanjo travel india but got confirm singapor airlin inform agenc well complet mistak singapor airlin
2024,3,Negative,give singapor airlin miss would rate singapor airlin wors ever travel plu left time arriv time firstli no one brought headset ask one bfst omelett aw part yellow part brown rest ined milk butter get come liquid form squeez tube no decaffein coffe no hot chocol wait nearli hr without food went galley hope get sandwich but avail banana kitkat tray water noth brought around hr no choic juic film avail limit not date dinner eventu arriv ined no dinner drink trolley choic red wine white wine chardonnay but got half plastic cup wine no repeat believ cost cut detriment choic would never travel
2024,3,Negative,disappoint singapor airlin sq may one largest airlin world but custom servic appal flight cancel instead hour stopov singapor hour wait noth no excus no compens compani treat custom like call custom servic sever time third time found person rude like time visit citi complain arriv midnight leav take hotel compani wo even compens us one best airlin world realli
