year,month,processed_full_review,sentiment
2024,5,give zero star could alway see onlin singapor airlin one best airlin but experi worst ever flown humili singl outward flight flight attend abus fellow passeng wasprotect attend regardless clearli victim seat issu complain custom servic later time actual admit seat faulti femal fli solo avoid confront fli long haul would alon changi layov hour sadli fli home airlin later way back hope avoid anymor issu paid particular seat find reassign seat gate exact seat explain issu singapor airlin staff member laugh not take extra seat book money refus refund extra seat book cost humili ld staff would absolut love see go would give zero star,Negative
2024,9,zero star disappoint singapor air not much due flight issu but custom standpoint hundr thousand air mile bank airlin mile accumul spend hard earn money receiv one dayi log use mile gone call singapor told mile expir not receiv warn issu look simpli told sorri no mile anymor realli insult bank mile futur use airlin give ok simpli zero never fli pull compani account well advis choos wise look around altern poor,Negative
2024,10,amaz best servic ever food amaz especi starter beef noodl soup good would recommend seat also comfi busi class singpor airlin,Positive
2024,10,hour delay flight london singapor thought would make us miss connect flight brisban travel kid hour journey start day not best news wake but singaporeairlin faultless handl experi reconfirm first choic long haul travel staff help knowledg given support assist everi step littl detail like notic tire children board us earli first class made pleasant not us but fellow passeng cabin crew help get us plane quickli could make connect ground staff wait us buggi whizz us straight gate made next flight easier give good servic everyth run smoothli great know good hand thing go plan delay ca help but handl make handl delay flight,Positive
2024,10,leg room great but food terribl travel singapor airlin premium economi flight trip servic patchi no amen pack given one flight ask one given one eye mask lip balm flimsi pair slide ithink emir qanta premium economi win hand premium economi,Neutral
2024,10,flight newark singapor bali great staff incred servic food leav denpasar connect singapor way back newark aw want move earlier flight safe time switch plane avoid singaporeair,Negative
2024,10,name simpl fact took ring call air crew servic support worst experi ever poor servic,Negative
2024,8,effici check board great servic chicken noodl best return flight ran mani peopl chosen sat back plane singapor airlin stand firm tittl best airlin,Positive
2024,10,prioriti secur good start loung good load excel staff wonder food good got pretti good sleep altogeth costli but arriv readi go busi best,Positive
2024,10,still recov passeng put chair back hour n half hour flight leg space not great economi impress singapor airlin load disabl passeng first level custom servic amaz heathrow changi great steward n stewardess no leg space passeng put chair back hour n hour flight,Neutral
2024,9,second time sq celebr birthday airplan touch appreci given cake birthday card given cake trip happen fall birthday month,Positive
2024,9,first flight delay hour miss connect flight said next flight will wait minut singapor airlin rebook anoth flight chang worst experi ever don fli,Negative
2024,10,second time sq chang flight sq scoot not passeng choic last time busi terribl time economi problem paid sq flight want fli scoot would save money book scoot flight could sq asham,Negative
2024,10,not im frustrat high price paid trip poor loung poor partner horribl food come latezzz friend economi got better servic offer snack staff far busi lunch took twobhour better airlin travel,Negative
2024,9,fantast flight servic impecc staff could not enough definit fli singapor airlin outstand,Positive
2024,8,flight singapor bangkok depart singapor changi airport termin singapor airlin oper row termin row dedic economi class passeng compris counter passeng want excel economi class experi but cater disappoint,Positive
2024,8,alway appreci singapor staff clean toilet flight handi servic would hate stuck long journey without bind connect two airlin lost singapor ask save time troubl,Positive
2024,8,great flight servic great loung great breakfast worst possibl scrambl egg green hard mention staff said overcook green smelli tast terribl hard told overcook replac offer but still green disgust food,Negative
2024,9,travel sq sinc time one worst servic ever receiv sq flight crew custom servic sq servic crew forgot servic late dinner claim sleep sq luggag lost wast time delay flight not sq,Negative
2024,9,time buy ticket indic differ charg chang but tri chang fare avail onlin book not offer chang but exhorbit fare doubl fare line made charg unfair trade practic not offer onlin fare chang,Negative
2024,9,fli sq decad top pick but busi class experi taken hit day staff member would seat introduc staff member look gone littl extra like well equip amen kit great,Neutral
2024,9,fli melbourn dublin via singapor copenhagen flight singapor late leav meant land copenhagen minut next flight dublin suppos leav made gate board commenc flight board debarcl,Negative
2024,9,book ticket phuket singapor septemb delay hour due bad whether condit ait line staff offerd us voucher worth baht dinner transit singapor colombo flight depart delay flight experi,Positive
2024,9,cooper scoot flight but two system not well integr scoot flight often chang cancel flight even alreadi book not get refund without pay aud even flight delay hour aw work scoot,Negative
2024,8,best compani ever wife travel london singapor amaz everyth perfect sympathi love flight attend everyth journey hour comfort great thank experi best compani fli,Positive
2024,9,pay upgrad fee premium joke wors economi horribl not even think use would give minu star could terribl,Negative
2024,4,alway enjoy fli singapor airlin sinc move india regularli use servic mumbai manila via singapor time major flight took alway time staff inflight staff help accommod consist servic,Positive
2024,9,flight sin usual effici flight good food but outstand bonu free hotel hr miss connect sin sq flight medan late possibl due stormi weather medan honest miss connect free hotel room,Positive
2024,5,took sq coupl time leisur busi long short haul recent may overal still great servic reason good food wide select entertain reliabl but not fond certain digit still great airlin although not fond digit initi,Positive
2024,7,flight sydney singapor first time singapor consider time travel syd via singapor nyc hr stop air side aerotel changi flight flight syd left hard fault excel servic,Positive
2024,8,flew singapor airlin code share air new zealand singapor johannesburg return premium economi not good flight two air nz less room less comfi seat food not good no amen kit provid disappoint realli not realli valu money premium economi,Neutral
2024,9,alway pleasur fli singapor air love staff three flight food realli good entertain fine cabin bit cool found use blanket keep chill away alway pleasur,Positive
2024,9,made us miss connect flight claim air traffic fault actual arriv ldn late meant wait singapor four connect flight eight hour miss engag meal bali spent hour first unorganis overpr poor servic,Negative
2024,9,amaz airlin staff attent friendli great flight entertain system profession could not rate highli best airlin compani ever,Positive
2024,9,singapor airlin great name but left lot want inflight comfort special came meal pre order vegetarian meal indian hindu vegetarian but flight flight meal servic hour long flight rather not good option someon diet restrict indian hindu vegetarian,Negative
2024,9,virgin veloc gold member travel famili warn one famili get singapor airlin loung access kid sit outsid loung floor famili split sit public toilet virgin veloc gold member bewar,Negative
2024,8,love attent ultra friendli staff board food great but much comfort seat noth much troubl highli recommend but expens great,Positive
2024,4,horribl servic deni frankfurt rude unprofession staff member airlin call frau reid bring dive equip neither cabin regist luggag not clue allow equip poni tank seriou issu luggag,Negative
2024,9,book ticket adult infant son month octob around april book month advanc dont miss bassinet seat trip everyth book expect airlin decid chang econom class custom unwant,Negative
2024,9,amaz experi fli singapor airlin sq servic except attent staff comfort seat delici meal assist reach number singapor locat singapor changi singapor airlin sq custom servic number,Positive
2024,8,singapor airlin offici go choic schedul flight asia staff excel attent best economi seat probabl legroom widest seat avail must long haul flight plane wide seat plenti legroom excel attent staff,Positive
2023,10,best airlin ever went singapor airlin food custom servic good staff nice economi felt like premium economi gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooood,Positive
